,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3147,GMTUSDT,BLZUSDT,0.04,-3.38,-3.34,1.43,0
3148,GMTUSDT,USDTDAI,0.03,-3.52,-3.34,0.17,0
3149,GMTUSDT,CRVUSDT,0.04,-3.42,-3.34,0.35,0
3150,GMTUSDT,LUNAUSDT,0.02,-3.72,-3.34,0.38,0
3151,GMTUSDT,WNXMUSDT,0.01,-4.07,-3.34,0.01,0
3152,APEUSDT,USDCUSDT,0.03,-3.48,-3.34,1.54,0
3153,APEUSDT,OMGUSDT,0.04,-3.44,-3.34,3.12,0
3154,APEUSDT,BUSDUSDT,0.01,-3.84,-3.34,1.54,0
3156,APEUSDT,USDTDAI,0.01,-3.85,-3.34,1.54,0
3141,GMTUSDT,WRXUSDT,0.0,-4.17,-3.34,1.67,0
3157,BSWUSDT,BTCUSDT,0.03,-3.59,-3.34,0.0,0
3158,BSWUSDT,ETHUSDT,0.0,-4.14,-3.34,0.0,0
3159,BSWUSDT,BNBUSDT,0.02,-3.65,-3.34,0.0,0
3160,BSWUSDT,NEOUSDT,0.01,-4.03,-3.34,0.01,0
3161,BSWUSDT,LTCUSDT,0.0,-4.23,-3.34,0.0,0
3162,BSWUSDT,QTUMUSDT,0.0,-4.14,-3.34,0.03,0
3163,BSWUSDT,ADAUSDT,0.02,-3.63,-3.34,0.26,0
3164,BSWUSDT,XRPUSDT,0.0,-4.21,-3.34,0.13,0
3165,BSWUSDT,EOSUSDT,0.01,-4.01,-3.34,0.11,0
3166,BSWUSDT,TUSDUSDT,0.01,-4.01,-3.34,0.07,0
3167,STEEMUSDT,BTCUSDT,0.05,-3.38,-3.34,0.0,0
3168,STEEMUSDT,QTUMUSDT,0.0,-4.45,-3.34,0.07,0
3142,GMTUSDT,MBLUSDT,0.02,-3.76,-3.34,60.55,0
3140,GMTUSDT,DREPUSDT,0.02,-3.6,-3.34,0.73,0
3112,TUSDT,DREPUSDT,0.02,-3.72,-3.34,0.08,0
3125,GMTUSDT,ADAUSDT,0.02,-3.73,-3.34,0.65,0
3113,TUSDT,WRXUSDT,0.04,-3.4,-3.34,0.19,0
3114,TUSDT,MBLUSDT,0.01,-3.9,-3.34,6.84,0
3115,TUSDT,SCUSDT,0.03,-3.48,-3.34,6.48,0
3116,TUSDT,MANAUSDT,0.01,-4.05,-3.34,0.06,0
3117,TUSDT,YFIUSDT,0.03,-3.57,-3.34,0.0,0
3118,TUSDT,BALUSDT,0.01,-3.78,-3.34,0.01,0
3119,TUSDT,USDTDAI,0.04,-3.45,-3.34,0.02,0
3120,TUSDT,SANDUSDT,0.01,-3.88,-3.34,0.06,0
3121,TUSDT,LUNAUSDT,0.03,-3.53,-3.34,0.04,0
3122,TUSDT,WNXMUSDT,0.0,-4.13,-3.34,0.0,0
3123,ASTRUSDT,KEYUSDT,0.04,-3.39,-3.34,11.2,0
3124,GMTUSDT,QTUMUSDT,0.02,-3.74,-3.34,0.08,0
3126,GMTUSDT,XRPUSDT,0.03,-3.48,-3.34,0.32,0
3139,GMTUSDT,VITEUSDT,0.0,-4.21,-3.34,14.1,0
3127,GMTUSDT,USDCUSDT,0.01,-3.78,-3.34,0.17,0
3128,GMTUSDT,THETAUSDT,0.03,-3.53,-3.34,0.27,0
3129,GMTUSDT,FTMUSDT,0.01,-4.01,-3.34,0.82,0
