,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
560,ZENUSDT,BTSUSDT,0.02,-3.73,-3.34,843.29,0
561,ZENUSDT,LSKUSDT,0.01,-3.88,-3.34,10.32,0
562,ZENUSDT,USDTIDRT,0.0,-4.33,-3.34,0.0,0
563,ZENUSDT,COMPUSDT,0.04,-3.46,-3.34,0.17,0
564,ZENUSDT,USDTBIDR,0.03,-3.51,-3.34,0.0,0
565,ZENUSDT,SCUSDT,0.0,-4.28,-3.34,2546.33,0
566,ZENUSDT,WNXMUSDT,0.0,-4.57,-3.34,0.26,0
567,VTHOUSDT,KEYUSDT,0.04,-3.42,-3.34,0.2,0
568,MKRUSDT,OGNUSDT,0.01,-3.98,-3.34,13286.32,0
541,USDTUAH,BUSDUSDT,0.05,-3.36,-3.34,39.09,0
539,USDTUAH,USDCUSDT,0.04,-3.38,-3.34,39.09,0
570,MKRUSDT,ALPACAUSDT,0.0,-4.13,-3.34,8101.53,0
521,DATAUSDT,ZECUSDT,0.03,-3.53,-3.34,0.0,0
509,DATAUSDT,TUSDUSDT,0.03,-3.57,-3.34,0.02,0
510,DATAUSDT,ONTUSDT,0.0,-4.42,-3.34,0.13,0
511,DATAUSDT,ICXUSDT,0.03,-3.52,-3.34,0.12,0
512,DATAUSDT,NULSUSDT,0.01,-3.91,-3.34,0.12,0
513,DATAUSDT,USDCUSDT,0.05,-3.37,-3.34,0.02,0
514,DATAUSDT,LINKUSDT,0.01,-3.93,-3.34,0.0,0
515,DATAUSDT,WAVESUSDT,0.05,-3.35,-3.34,0.01,0
516,DATAUSDT,ONGUSDT,0.02,-3.74,-3.34,0.1,0
517,DATAUSDT,ZILUSDT,0.04,-3.4,-3.34,1.26,0
518,DATAUSDT,ZRXUSDT,0.02,-3.6,-3.34,0.12,0
519,DATAUSDT,BATUSDT,0.03,-3.53,-3.34,0.12,0
520,DATAUSDT,XMRUSDT,0.02,-3.73,-3.34,0.0,0
522,DATAUSDT,CELRUSDT,0.01,-4.06,-3.34,1.79,0
538,USDTIDRT,XLMUSDT,0.04,-3.41,-3.34,119023.26,0
523,DATAUSDT,DASHUSDT,0.02,-3.65,-3.34,0.0,0
524,DATAUSDT,THETAUSDT,0.03,-3.51,-3.34,0.03,0
525,DATAUSDT,ENJUSDT,0.0,-4.18,-3.34,0.09,0
526,DATAUSDT,TFUELUSDT,0.05,-3.36,-3.34,0.63,0
529,SOLUSDT,VITEUSDT,0.0,-5.0,-3.34,1715.56,0
530,USDTIDRT,ETHUSDT,0.04,-3.45,-3.34,8.91,0
531,USDTIDRT,BNBUSDT,0.02,-3.75,-3.34,68.02,0
532,USDTIDRT,LTCUSDT,0.01,-3.92,-3.34,212.27,0
533,USDTIDRT,QTUMUSDT,0.0,-4.5,-3.34,6591.67,0
534,USDTIDRT,ADAUSDT,0.01,-3.86,-3.34,56455.61,0
535,USDTIDRT,XRPUSDT,0.04,-3.4,-3.34,27303.0,0
536,USDTIDRT,EOSUSDT,0.0,-4.52,-3.34,24132.28,0
569,MKRUSDT,PHAUSDT,0.03,-3.49,-3.34,12832.71,0
571,STORJUSDT,MULTIUSDT,0.02,-3.64,-3.34,0.15,0
629,JSTUSDT,STRAXUSDT,0.04,-3.41,-3.34,0.05,0
615,KMDUSDT,XMRUSDT,0.01,-3.99,-3.34,0.0,0
603,KMDUSDT,ETCUSDT,0.0,-4.23,-3.34,0.01,0
604,KMDUSDT,ICXUSDT,0.01,-4.11,-3.34,1.21,0
605,KMDUSDT,NULSUSDT,0.0,-4.2,-3.34,1.19,0
606,KMDUSDT,VETUSDT,0.0,-4.12,-3.34,13.22,0
607,KMDUSDT,LINKUSDT,0.01,-4.09,-3.34,0.03,0
608,KMDUSDT,WAVESUSDT,0.0,-4.14,-3.34,0.13,0
609,KMDUSDT,ONGUSDT,0.01,-4.08,-3.34,0.99,0
610,KMDUSDT,HOTUSDT,0.01,-4.06,-3.34,193.37,0
611,KMDUSDT,ZILUSDT,0.01,-4.09,-3.34,12.45,0
612,KMDUSDT,ZRXUSDT,0.01,-4.08,-3.34,1.17,0
613,KMDUSDT,FETUSDT,0.01,-3.96,-3.34,1.01,0
614,KMDUSDT,BATUSDT,0.0,-4.12,-3.34,1.19,0
616,KMDUSDT,ZECUSDT,0.0,-4.16,-3.34,0.01,0
601,KMDUSDT,ONTUSDT,0.01,-4.1,-3.34,1.29,0
617,KMDUSDT,IOSTUSDT,0.0,-4.16,-3.34,28.83,0
618,KMDUSDT,CELRUSDT,0.01,-4.09,-3.34,17.71,0
619,KMDUSDT,DASHUSDT,0.01,-4.1,-3.34,0.01,0
620,KMDUSDT,OMGUSDT,0.01,-4.07,-3.34,0.44,0
621,KMDUSDT,THETAUSDT,0.0,-4.12,-3.34,0.33,0
622,KMDUSDT,ENJUSDT,0.01,-4.08,-3.34,0.86,0
623,KMDUSDT,MATICUSDT,0.01,-4.05,-3.34,0.37,0
624,KMDUSDT,ATOMUSDT,0.01,-4.02,-3.34,0.03,0
625,KMDUSDT,TFUELUSDT,0.0,-4.11,-3.34,6.26,0
626,JSTUSDT,TUSDUSDT,0.01,-3.78,-3.34,0.02,0
627,JSTUSDT,WANUSDT,0.03,-3.54,-3.34,0.11,0
628,JSTUSDT,KNCUSDT,0.01,-3.78,-3.34,0.04,0
602,KMDUSDT,TRXUSDT,0.01,-4.06,-3.34,2.85,0
600,KMDUSDT,XLMUSDT,0.0,-4.11,-3.34,1.72,0
572,YFIUSDT,ETHUSDT,0.04,-3.42,-3.34,3.38,0
585,IRISUSDT,FUNUSDT,0.04,-3.42,-3.34,4.24,0
573,BLZUSDT,ADAUSDT,0.0,-4.25,-3.34,0.38,0
574,BLZUSDT,TUSDUSDT,0.0,-4.41,-3.34,0.11,0
575,IRISUSDT,NULSUSDT,0.01,-3.8,-3.34,0.1,0
576,IRISUSDT,USDCUSDT,0.03,-3.55,-3.34,0.02,0
577,IRISUSDT,LINKUSDT,0.04,-3.47,-3.34,0.0,0
578,IRISUSDT,ONGUSDT,0.02,-3.59,-3.34,0.08,0
579,IRISUSDT,CELRUSDT,0.03,-3.48,-3.34,1.51,0
580,IRISUSDT,ENJUSDT,0.03,-3.54,-3.34,0.07,0
581,IRISUSDT,ALGOUSDT,0.04,-3.39,-3.34,0.19,0
582,IRISUSDT,COSUSDT,0.0,-4.75,-3.34,4.0,0
583,IRISUSDT,DOCKUSDT,0.02,-3.62,-3.34,1.32,0
584,IRISUSDT,WANUSDT,0.02,-3.61,-3.34,0.1,0
586,IRISUSDT,BUSDUSDT,0.01,-3.94,-3.34,0.02,0
599,KMDUSDT,IOTAUSDT,0.01,-4.0,-3.34,1.36,0
587,IRISUSDT,NKNUSDT,0.01,-4.07,-3.34,0.21,0
588,IRISUSDT,RLCUSDT,0.0,-4.34,-3.34,0.02,0
589,KMDUSDT,BTCUSDT,0.01,-4.1,-3.34,0.0,0
590,KMDUSDT,ETHUSDT,0.01,-4.06,-3.34,0.0,0
591,KMDUSDT,BNBUSDT,0.0,-4.19,-3.34,0.0,0
592,KMDUSDT,NEOUSDT,0.0,-4.17,-3.34,0.03,0
593,KMDUSDT,LTCUSDT,0.01,-4.1,-3.34,0.0,0
594,KMDUSDT,QTUMUSDT,0.0,-4.11,-3.34,0.1,0
595,KMDUSDT,ADAUSDT,0.01,-4.09,-3.34,0.82,0
596,KMDUSDT,XRPUSDT,0.01,-4.1,-3.34,0.4,0
597,KMDUSDT,EOSUSDT,0.0,-4.15,-3.34,0.35,0
598,KMDUSDT,TUSDUSDT,0.01,-4.02,-3.34,0.22,0
752,BELUSDT,COTIUSDT,0.04,-3.43,-3.34,14.16,0
754,BELUSDT,OCEANUSDT,0.04,-3.4,-3.34,1.86,0
507,DATAUSDT,LTCUSDT,0.04,-3.41,-3.34,0.0,0
755,BELUSDT,LITUSDT,0.02,-3.76,-3.34,0.96,0
914,UTKUSDT,RAYUSDT,0.0,-4.59,-3.34,0.31,0
915,UTKUSDT,ALPACAUSDT,0.03,-3.51,-3.34,0.41,0
916,UTKUSDT,QUICKUSDT,0.01,-3.77,-3.34,1.37,0
917,UTKUSDT,REQUSDT,0.0,-4.21,-3.34,0.84,0
918,UTKUSDT,ILVUSDT,0.04,-3.46,-3.34,0.0,0
919,UTKUSDT,DFUSDT,0.01,-3.83,-3.34,1.74,0
920,UTKUSDT,RADUSDT,0.04,-3.42,-3.34,0.04,0
921,UTKUSDT,BETAUSDT,0.0,-4.56,-3.34,0.77,0
922,UTKUSDT,CHESSUSDT,0.0,-4.76,-3.34,0.45,0
923,XVSUSDT,NULSUSDT,0.05,-3.35,-3.34,22.07,0
924,XVSUSDT,COSUSDT,0.03,-3.54,-3.34,868.81,0
925,ALPHAUSDT,QTUMUSDT,0.02,-3.65,-3.34,0.04,0
926,ALPHAUSDT,ADAUSDT,0.03,-3.49,-3.34,0.32,0
927,ALPHAUSDT,XRPUSDT,0.04,-3.45,-3.34,0.16,0
928,ALPHAUSDT,USDCUSDT,0.02,-3.73,-3.34,0.09,0
929,ALPHAUSDT,HOTUSDT,0.02,-3.68,-3.34,76.69,0
930,ALPHAUSDT,XMRUSDT,0.05,-3.37,-3.34,0.0,0
931,ALPHAUSDT,CELRUSDT,0.05,-3.36,-3.34,7.03,0
932,ALPHAUSDT,OMGUSDT,0.04,-3.42,-3.34,0.18,0
933,ALPHAUSDT,THETAUSDT,0.04,-3.41,-3.34,0.13,0
934,ALPHAUSDT,ANKRUSDT,0.03,-3.57,-3.34,4.19,0
935,ALPHAUSDT,WINUSDT,0.0,-4.7,-3.34,1372.15,0
936,ALPHAUSDT,COSUSDT,0.01,-4.11,-3.34,18.57,0
937,ALPHAUSDT,DENTUSDT,0.01,-3.81,-3.34,129.09,0
938,ALPHAUSDT,FUNUSDT,0.01,-3.9,-3.34,19.7,0
939,ALPHAUSDT,BUSDUSDT,0.01,-4.03,-3.34,0.09,0
940,ALPHAUSDT,RVNUSDT,0.01,-3.92,-3.34,5.42,0
913,UTKUSDT,TVKUSDT,0.01,-3.9,-3.34,2.7,0
912,UTKUSDT,CLVUSDT,0.0,-4.93,-3.34,1.73,0
911,UTKUSDT,SHIBUSDT,0.01,-3.83,-3.34,6932.87,0
896,UTKUSDT,FIOUSDT,0.01,-4.05,-3.34,3.04,0
884,UTKUSDT,DREPUSDT,0.01,-4.07,-3.34,0.24,0
885,UTKUSDT,LTOUSDT,0.01,-4.1,-3.34,1.01,0
886,UTKUSDT,MBLUSDT,0.03,-3.56,-3.34,20.19,0
887,UTKUSDT,DATAUSDT,0.02,-3.63,-3.34,2.62,0
888,UTKUSDT,SOLUSDT,0.04,-3.42,-3.34,0.0,0
889,UTKUSDT,LRCUSDT,0.0,-4.35,-3.34,0.3,0
890,UTKUSDT,DCRUSDT,0.01,-3.84,-3.34,0.0,0
891,UTKUSDT,MANAUSDT,0.03,-3.51,-3.34,0.18,0
892,UTKUSDT,CRVUSDT,0.02,-3.62,-3.34,0.12,0
893,UTKUSDT,LUNAUSDT,0.04,-3.43,-3.34,0.13,0
894,UTKUSDT,WNXMUSDT,0.02,-3.64,-3.34,0.0,0
895,UTKUSDT,KSMUSDT,0.04,-3.38,-3.34,0.0,0
897,UTKUSDT,UMAUSDT,0.01,-3.96,-3.34,0.04,0
910,UTKUSDT,SLPUSDT,0.0,-6.27,-3.34,39.48,0
898,UTKUSDT,UNIUSDT,0.03,-3.54,-3.34,0.01,0
899,UTKUSDT,ORNUSDT,0.0,-4.59,-3.34,0.1,0
900,UTKUSDT,ALPHAUSDT,0.01,-3.78,-3.34,0.67,0
901,UTKUSDT,AUDIOUSDT,0.0,-4.47,-3.34,0.36,0
902,UTKUSDT,AXSUSDT,0.04,-3.46,-3.34,0.01,0
903,UTKUSDT,HARDUSDT,0.0,-4.27,-3.34,0.52,0
904,UTKUSDT,OGUSDT,0.02,-3.62,-3.34,0.01,0
905,UTKUSDT,CELOUSDT,0.03,-3.55,-3.34,0.13,0
906,UTKUSDT,FIROUSDT,0.0,-4.13,-3.34,0.04,0
907,UTKUSDT,LINAUSDT,0.03,-3.56,-3.34,4.91,0
908,UTKUSDT,TKOUSDT,0.01,-3.86,-3.34,0.25,0
909,UTKUSDT,BURGERUSDT,0.0,-5.69,-3.34,0.17,0
941,ALPHAUSDT,KAVAUSDT,0.01,-4.02,-3.34,0.12,0
942,ALPHAUSDT,CTXCUSDT,0.03,-3.52,-3.34,0.68,0
943,ALPHAUSDT,VITEUSDT,0.0,-4.2,-3.34,7.02,0
992,FILUSDT,CELOUSDT,0.04,-3.43,-3.34,7.94,0
978,FILUSDT,MBLUSDT,0.04,-3.42,-3.34,1237.33,0
979,FILUSDT,HIVEUSDT,0.02,-3.61,-3.34,11.78,0
980,FILUSDT,COMPUSDT,0.02,-3.69,-3.34,0.08,0
981,FILUSDT,SCUSDT,0.02,-3.73,-3.34,1171.99,0
982,FILUSDT,SXPUSDT,0.02,-3.6,-3.34,12.62,0
983,FILUSDT,CRVUSDT,0.0,-5.01,-3.34,7.12,0
984,FILUSDT,WNXMUSDT,0.0,-4.27,-3.34,0.12,0
985,FILUSDT,EGLDUSDT,0.02,-3.62,-3.34,0.13,0
986,FILUSDT,FIOUSDT,0.05,-3.37,-3.34,185.93,0
987,FILUSDT,ORNUSDT,0.04,-3.42,-3.34,6.26,0
988,FILUSDT,ROSEUSDT,0.02,-3.63,-3.34,84.3,0
990,FILUSDT,OGUSDT,0.03,-3.58,-3.34,0.82,0
995,FILUSDT,LINAUSDT,0.04,-3.41,-3.34,301.5,0
976,FILUSDT,DREPUSDT,0.01,-4.02,-3.34,14.88,0
996,FILUSDT,PUNDIXUSDT,0.04,-3.42,-3.34,10.26,0
997,FILUSDT,BURGERUSDT,0.0,-4.17,-3.34,10.16,0
998,FILUSDT,ARUSDT,0.02,-3.75,-3.34,0.78,0
999,FILUSDT,CLVUSDT,0.04,-3.42,-3.34,106.1,0
1000,FILUSDT,FLOWUSDT,0.01,-3.88,-3.34,7.44,0
1001,FILUSDT,REQUSDT,0.0,-4.17,-3.34,51.75,0
1002,FILUSDT,WAXPUSDT,0.01,-3.87,-3.34,83.27,0
1003,FILUSDT,ILVUSDT,0.04,-3.4,-3.34,0.08,0
1004,FILUSDT,YGGUSDT,0.05,-3.35,-3.34,13.14,0
1005,FILUSDT,FIDAUSDT,0.01,-3.84,-3.34,20.59,0
1006,FILUSDT,CITYUSDT,0.02,-3.64,-3.34,1.14,0
1007,FILUSDT,SANTOSUSDT,0.0,-4.32,-3.34,1.17,0
977,FILUSDT,LTOUSDT,0.04,-3.41,-3.34,61.74,0
975,FILUSDT,VITEUSDT,0.04,-3.42,-3.34,288.17,0
944,ALPHAUSDT,DREPUSDT,0.01,-3.8,-3.34,0.36,0
957,USDTBRL,TUSDUSDT,0.01,-3.95,-3.34,4.95,0
945,ALPHAUSDT,WRXUSDT,0.03,-3.48,-3.34,0.83,0
946,ALPHAUSDT,LTOUSDT,0.03,-3.49,-3.34,1.5,0
947,ALPHAUSDT,MBLUSDT,0.0,-4.29,-3.34,30.16,0
948,ALPHAUSDT,COMPUSDT,0.0,-4.18,-3.34,0.0,0
949,ALPHAUSDT,SCUSDT,0.02,-3.65,-3.34,28.56,0
950,ALPHAUSDT,MANAUSDT,0.0,-4.33,-3.34,0.27,0
951,ALPHAUSDT,BALUSDT,0.02,-3.71,-3.34,0.02,0
952,ALPHAUSDT,USDTDAI,0.02,-3.72,-3.34,0.09,0
953,ALPHAUSDT,CRVUSDT,0.02,-3.61,-3.34,0.17,0
954,ALPHAUSDT,SANDUSDT,0.03,-3.48,-3.34,0.25,0
955,ALPHAUSDT,LUNAUSDT,0.0,-4.83,-3.34,0.19,0
956,ALPHAUSDT,WNXMUSDT,0.01,-4.01,-3.34,0.0,0
958,USDTBRL,TRXUSDT,0.03,-3.52,-3.34,63.62,0
974,FILUSDT,STXUSDT,0.03,-3.58,-3.34,7.03,0
961,USDTBRL,BUSDUSDT,0.05,-3.35,-3.34,4.94,0
962,AAVEUSDT,BTCUSDT,0.04,-3.46,-3.34,0.0,0
964,FILUSDT,ICXUSDT,0.04,-3.46,-3.34,19.7,0
965,FILUSDT,XMRUSDT,0.0,-4.15,-3.34,0.02,0
966,FILUSDT,TFUELUSDT,0.02,-3.59,-3.34,102.12,0
967,FILUSDT,WINUSDT,0.02,-3.6,-3.34,56338.63,0
968,FILUSDT,COSUSDT,0.03,-3.5,-3.34,762.15,0
969,FILUSDT,DENTUSDT,0.01,-3.82,-3.34,5296.95,0
970,FILUSDT,FUNUSDT,0.02,-3.73,-3.34,808.37,0
971,FILUSDT,CVCUSDT,0.05,-3.37,-3.34,47.43,0
972,FILUSDT,BUSDUSDT,0.01,-3.82,-3.34,3.57,0
973,FILUSDT,RVNUSDT,0.01,-3.89,-3.34,222.32,0
883,UTKUSDT,VITEUSDT,0.0,-4.3,-3.34,4.71,0
882,UTKUSDT,RVNUSDT,0.02,-3.64,-3.34,3.63,0
881,UTKUSDT,BUSDUSDT,0.01,-3.93,-3.34,0.06,0
803,OXTUSDT,DUSKUSDT,0.05,-3.35,-3.34,0.57,0
789,UNIUSDT,VITEUSDT,0.0,-4.71,-3.34,409.03,0
790,UNIUSDT,DREPUSDT,0.01,-3.91,-3.34,21.08,0
791,UNIUSDT,LTOUSDT,0.05,-3.37,-3.34,87.59,0
792,UNIUSDT,MBLUSDT,0.0,-4.46,-3.34,1758.07,0
793,UNIUSDT,COMPUSDT,0.03,-3.57,-3.34,0.11,0
794,UNIUSDT,SCUSDT,0.05,-3.34,-3.34,1665.23,0
797,UNIUSDT,CRVUSDT,0.03,-3.49,-3.34,10.13,0
798,UNIUSDT,LUNAUSDT,0.02,-3.7,-3.34,10.95,0
799,UNIUSDT,WNXMUSDT,0.0,-4.25,-3.34,0.17,0
800,UNIUSDT,KSMUSDT,0.01,-3.95,-3.34,0.25,0
801,OXTUSDT,ONGUSDT,0.05,-3.37,-3.34,0.28,0
802,OXTUSDT,ALGOUSDT,0.05,-3.35,-3.34,0.63,0
804,OXTUSDT,NKNUSDT,0.05,-3.36,-3.34,0.7,0
787,UNIUSDT,KAVAUSDT,0.03,-3.59,-3.34,7.03,0
805,OXTUSDT,ARPAUSDT,0.05,-3.36,-3.34,1.37,0
806,OXTUSDT,USDTRUB,0.03,-3.5,-3.34,0.0,0
807,SUNUSDT,BTCUSDT,0.0,-4.5,-3.34,0.0,0
808,SUNUSDT,ETHUSDT,0.01,-4.05,-3.34,0.0,0
809,SUNUSDT,BNBUSDT,0.01,-3.79,-3.34,0.0,0
810,SUNUSDT,NEOUSDT,0.01,-4.0,-3.34,0.0,0
811,SUNUSDT,LTCUSDT,0.0,-4.5,-3.34,0.0,0
812,SUNUSDT,QTUMUSDT,0.0,-4.31,-3.34,0.0,0
813,SUNUSDT,ADAUSDT,0.01,-3.9,-3.34,0.02,0
814,SUNUSDT,XRPUSDT,0.01,-4.1,-3.34,0.01,0
815,SUNUSDT,EOSUSDT,0.01,-4.11,-3.34,0.01,0
816,SUNUSDT,TUSDUSDT,0.02,-3.69,-3.34,0.01,0
788,UNIUSDT,CTXCUSDT,0.02,-3.69,-3.34,39.63,0
786,UNIUSDT,STXUSDT,0.02,-3.62,-3.34,9.99,0
818,SUNUSDT,ONTUSDT,0.0,-4.82,-3.34,0.03,0
768,WINGUSDT,FETUSDT,0.04,-3.38,-3.34,22.52,0
756,BELUSDT,FORTHUSDT,0.0,-4.32,-3.34,0.22,0
757,BELUSDT,GTCUSDT,0.01,-3.93,-3.34,0.62,0
758,BELUSDT,FARMUSDT,0.02,-3.72,-3.34,0.03,0
759,BELUSDT,QUICKUSDT,0.02,-3.72,-3.34,14.14,0
760,BELUSDT,AGLDUSDT,0.01,-4.02,-3.34,1.08,0
761,BELUSDT,ADXUSDT,0.0,-4.31,-3.34,4.58,0
762,BELUSDT,VOXELUSDT,0.05,-3.37,-3.34,4.37,0
763,BELUSDT,XNOUSDT,0.02,-3.65,-3.34,0.96,0
764,BELUSDT,VIBUSDT,0.02,-3.75,-3.34,13.85,0
765,BELUSDT,UFTUSDT,0.01,-3.99,-3.34,2.62,0
766,BELUSDT,ASTUSDT,0.04,-3.44,-3.34,6.62,0
767,BELUSDT,FDUSDUSDT,0.01,-4.05,-3.34,0.6,0
769,WINGUSDT,MDTUSDT,0.0,-4.53,-3.34,112.79,0
785,UNIUSDT,RVNUSDT,0.0,-4.32,-3.34,315.68,0
770,UNIUSDT,ETHUSDT,0.0,-4.42,-3.34,0.0,0
772,UNIUSDT,ADAUSDT,0.01,-3.9,-3.34,18.85,0
774,UNIUSDT,HOTUSDT,0.02,-3.74,-3.34,4468.91,0
775,UNIUSDT,ZILUSDT,0.04,-3.41,-3.34,288.2,0
776,UNIUSDT,OMGUSDT,0.01,-3.8,-3.34,10.25,0
777,UNIUSDT,MATICUSDT,0.03,-3.54,-3.34,8.61,0
778,UNIUSDT,FTMUSDT,0.02,-3.72,-3.34,23.87,0
779,UNIUSDT,WINUSDT,0.0,-5.1,-3.34,79861.14,0
780,UNIUSDT,COSUSDT,0.03,-3.55,-3.34,1081.27,0
781,UNIUSDT,DENTUSDT,0.0,-4.4,-3.34,7525.97,0
782,UNIUSDT,FUNUSDT,0.01,-3.99,-3.34,1147.26,0
783,UNIUSDT,CHZUSDT,0.03,-3.56,-3.34,77.24,0
817,SUNUSDT,XLMUSDT,0.03,-3.59,-3.34,0.04,0
819,SUNUSDT,ETCUSDT,0.0,-4.13,-3.34,0.0,0
880,UTKUSDT,CVCUSDT,0.02,-3.68,-3.34,0.77,0
866,ORNUSDT,THETAUSDT,0.03,-3.52,-3.34,0.87,0
854,ORNUSDT,QTUMUSDT,0.02,-3.6,-3.34,0.25,0
855,ORNUSDT,ONTUSDT,0.01,-4.07,-3.34,3.36,0
856,ORNUSDT,ICXUSDT,0.05,-3.35,-3.34,3.14,0
857,ORNUSDT,USDCUSDT,0.02,-3.63,-3.34,0.57,0
858,ORNUSDT,LINKUSDT,0.01,-3.81,-3.34,0.09,0
859,ORNUSDT,WAVESUSDT,0.01,-3.8,-3.34,0.35,0
860,ORNUSDT,HOTUSDT,0.0,-5.38,-3.34,502.43,0
861,ORNUSDT,BATUSDT,0.01,-4.09,-3.34,3.11,0
862,ORNUSDT,XMRUSDT,0.02,-3.62,-3.34,0.0,0
863,ORNUSDT,CELRUSDT,0.0,-4.14,-3.34,46.06,0
864,ORNUSDT,DASHUSDT,0.0,-4.51,-3.34,0.02,0
865,ORNUSDT,OMGUSDT,0.04,-3.38,-3.34,1.15,0
867,ORNUSDT,ENJUSDT,0.01,-3.85,-3.34,2.23,0
852,ORNUSDT,NEOUSDT,0.05,-3.36,-3.34,0.08,0
868,ORNUSDT,MATICUSDT,0.03,-3.58,-3.34,0.97,0
869,UTKUSDT,ETHUSDT,0.02,-3.62,-3.34,0.0,0
870,UTKUSDT,USDCUSDT,0.03,-3.54,-3.34,0.06,0
871,UTKUSDT,HOTUSDT,0.02,-3.68,-3.34,51.36,0
872,UTKUSDT,BATUSDT,0.01,-4.0,-3.34,0.32,0
873,UTKUSDT,OMGUSDT,0.03,-3.56,-3.34,0.12,0
874,UTKUSDT,MATICUSDT,0.02,-3.61,-3.34,0.1,0
875,UTKUSDT,ALGOUSDT,0.0,-4.45,-3.34,0.58,0
876,UTKUSDT,WINUSDT,0.01,-3.92,-3.34,920.6,0
877,UTKUSDT,COSUSDT,0.04,-3.44,-3.34,12.45,0
878,UTKUSDT,DENTUSDT,0.01,-4.01,-3.34,86.43,0
879,UTKUSDT,FUNUSDT,0.04,-3.46,-3.34,13.2,0
853,ORNUSDT,LTCUSDT,0.04,-3.38,-3.34,0.01,0
851,ORNUSDT,ETHUSDT,0.0,-4.14,-3.34,0.0,0
820,SUNUSDT,ICXUSDT,0.0,-4.5,-3.34,0.03,0
833,SUNUSDT,IOSTUSDT,0.0,-4.21,-3.34,0.7,0
821,SUNUSDT,NULSUSDT,0.01,-3.82,-3.34,0.03,0
822,SUNUSDT,VETUSDT,0.0,-5.2,-3.34,0.32,0
823,SUNUSDT,USDCUSDT,0.02,-3.63,-3.34,0.01,0
824,SUNUSDT,LINKUSDT,0.0,-4.23,-3.34,0.0,0
825,SUNUSDT,WAVESUSDT,0.0,-4.48,-3.34,0.0,0
826,SUNUSDT,ONGUSDT,0.0,-5.4,-3.34,0.02,0
827,SUNUSDT,HOTUSDT,0.0,-4.44,-3.34,4.68,0
828,SUNUSDT,ZILUSDT,0.0,-4.31,-3.34,0.3,0
829,SUNUSDT,ZRXUSDT,0.0,-4.87,-3.34,0.03,0
830,SUNUSDT,BATUSDT,0.0,-4.29,-3.34,0.03,0
831,SUNUSDT,XMRUSDT,0.0,-4.65,-3.34,0.0,0
832,SUNUSDT,ZECUSDT,0.0,-4.61,-3.34,0.0,0
834,SUNUSDT,CELRUSDT,0.0,-4.34,-3.34,0.43,0
850,AVAXUSDT,WNXMUSDT,0.01,-3.84,-3.34,0.36,0
835,SUNUSDT,DASHUSDT,0.0,-4.4,-3.34,0.0,0
836,SUNUSDT,OMGUSDT,0.01,-4.07,-3.34,0.01,0
837,SUNUSDT,THETAUSDT,0.0,-4.35,-3.34,0.01,0
838,SUNUSDT,ENJUSDT,0.01,-4.09,-3.34,0.02,0
839,SUNUSDT,MATICUSDT,0.02,-3.75,-3.34,0.01,0
841,AVAXUSDT,OMGUSDT,0.01,-3.77,-3.34,21.83,0
842,AVAXUSDT,FTMUSDT,0.02,-3.61,-3.34,50.85,0
843,AVAXUSDT,WINUSDT,0.03,-3.57,-3.34,170404.06,0
844,AVAXUSDT,DENTUSDT,0.03,-3.54,-3.34,16021.98,0
845,AVAXUSDT,FUNUSDT,0.0,-4.71,-3.34,2445.88,0
847,AVAXUSDT,VITEUSDT,0.0,-4.31,-3.34,871.78,0
848,AVAXUSDT,BLZUSDT,0.0,-4.21,-3.34,88.54,0
508,DATAUSDT,QTUMUSDT,0.02,-3.67,-3.34,0.01,0
506,DATAUSDT,NEOUSDT,0.03,-3.59,-3.34,0.0,0
1009,FILUSDT,ACAUSDT,0.04,-3.44,-3.34,70.99,0
259,TFUELUSDT,XRPUSDT,0.03,-3.51,-3.34,0.06,0
164,ONTUSDT,BUSDUSDT,0.05,-3.36,-3.34,0.17,0
165,ETCUSDT,BNBUSDT,0.03,-3.5,-3.34,0.07,0
166,ETCUSDT,LTCUSDT,0.03,-3.57,-3.34,0.23,0
167,ETCUSDT,QTUMUSDT,0.01,-4.07,-3.34,7.06,0
168,ETCUSDT,XRPUSDT,0.02,-3.71,-3.34,29.28,0
170,ETCUSDT,ZILUSDT,0.02,-3.71,-3.34,919.92,0
171,ETCUSDT,BATUSDT,0.02,-3.76,-3.34,88.26,0
172,ETCUSDT,XMRUSDT,0.04,-3.41,-3.34,0.11,0
173,ETCUSDT,IOSTUSDT,0.0,-4.28,-3.34,2129.69,0
174,ETCUSDT,TFUELUSDT,0.0,-4.21,-3.34,462.97,0
175,ETCUSDT,ONEUSDT,0.01,-4.08,-3.34,1576.83,0
176,ETCUSDT,WINUSDT,0.05,-3.36,-3.34,256223.76,0
177,ETCUSDT,COSUSDT,0.02,-3.7,-3.34,3462.81,0
178,ETCUSDT,PERLUSDT,0.0,-4.42,-3.34,1058.55,0
179,ETCUSDT,WANUSDT,0.03,-3.54,-3.34,85.48,0
180,ETCUSDT,FUNUSDT,0.0,-4.32,-3.34,3671.57,0
181,ETCUSDT,CVCUSDT,0.03,-3.56,-3.34,215.16,0
184,ETCUSDT,RENUSDT,0.03,-3.54,-3.34,321.39,0
185,ETCUSDT,STXUSDT,0.01,-3.78,-3.34,31.86,0
186,ETCUSDT,CTXCUSDT,0.0,-4.13,-3.34,126.87,0
